"No.","Judul","Abstrak"
"90","Penerapan Model Pembelajaran Kooperatif Tipe Think Pair Share (TPS) untuk Meningkatkan Hasil Belajar Siswa Mata Pelajaran TIK di MTs Yasrib Batu-Batu","Penelitian ini bertujuan untuk mengetahui apakah penerapan model pembelajaran Kooperatif Tipe Think Pair Share (TPS) dapat meningkatkan hasil belajar siswa pada mata pelajaran TIK di MTs Yasrib Batu-Batu. Penelitian ini merupakan penelitian tindakan kelas yang terdiri dari empat tahap pelaksanaan yang meliputi tahap perencanaan, pelaksanaan, observasi dan refleksi. Penelitian ini dilaksanakan dalam dua siklus yang setiap siklusnya terdiri dari dua kali pertemuan. Subjek penelitian ini adalah siswa kelas VIIB MTs Yasrib Batu-Batu. Teknik pengumpulan data dalam penelitian ini menggunakan lembar observasi, tes (pretest dan posttest) dan dokumentasi. Berdasarkan hasil analisis data, persentase ketuntasan posttest siswa pada siklus I sebesar 77,78% dan pada siklus II sebesar 88,89%. Berdasarkan hasil uji N-Gain, menunjukkan rata-rata peningkatan hasil belajar siswa pada siklus I sebesar 0,61 dan pada siklus II sebesar 0,69. Sehingga dapat disimpulkan bahwa penerapan model pembelajaran kooperatif tipe Think Pair Share dapat meningkatkan hasil belajar siswa pada mata pelajaran TIK di MTs Yasrib Batu-Batu."
"91","Analisis Tentang Pemahaman, Persepsi dan Aspek ChatGPT oleh Mahasiswa Jurusan Teknik Informatika dan Komputer FT UNM: Pengaruh, Keuntungan, Pengalaman, Privasi, Kepuasan dan Ketepatan Waktu","Dalam beberapa tahun terakhir, teknologi telah berkembang dengan sangat cepat, menghadirkan berbagai tren teknologi canggih yang memudahkan produktivitas pekerjaan dan aktivitas manusia, salah satunya adalah ChatGPT. Penelitian ini bertujuan untuk mengevaluasi pemahaman, persepsi, dan berbagai aspek penggunaan ChatGPT oleh mahasiswa Jurusan Teknik Informatika dan Komputer di Fakultas Teknik, Universitas Negeri Makassar (FT UNM). Studi ini mencakup enam aspek utama: pengaruh, keuntungan, pengalaman, privasi, kepuasan, dan ketepatan waktu. Penelitian ini merupakan penelitian deskriptif dengan pendekatan kuantitatif dengan jumlah sampel 139 mahasiswa Program Studi Pendidikan Teknik Informatika dan Komputer, Fakultas Teknik, Universitas Negeri Makassar angkatan 2020, 2021 dan 2022. Teknik pengumpulan data menggunakan kuisioner. Adapun teknik analisis data yang digunakan yaitu analisis statistik deskriptif untuk mendeskripsikan data. Hasil penelitian menunjukkan bahwa sebagian besar mahasiswa memiliki pemahaman dasar yang baik tentang ChatGPT, terutama terkait dengan fungsionalitas dan manfaatnya. Persepsi mahasiswa terhadap ChatGPT cenderung positif, dengan banyak yang mengakui keuntungan dari penggunaan teknologi ini dalam mendukung kegiatan akademik mereka. Selain itu, tingkat kepuasan dan ketepatan waktu dalam menerima informasi dari ChatGPT dinilai cukup tinggi. Kesimpulannya, meskipun ChatGPT diakui memiliki banyak manfaat, masih diperlukan peningkatan pemahaman yang lebih mendalam dan perhatian khusus terhadap isu privasi untuk memaksimalkan potensi teknologi ini dalam lingkungan akademik."
"92","Pengaruh Emotion Regulation Terhadap Kemampuan Public Speaking Mahasiswa Program Studi Pendidikan Teknik Informatika Dan Komputer Universitas Negeri Makassar","Lisah Febrianti, 2024. Pengaruh Emotion Regulation Terhadap Kemampuan Public Speaking Mahasiswa Program Studi Pendidikan Teknik Informatika Dan Komputer Universitas Negeri Makassar. Skripsi. Jurusan Teknik Informatika dan Komputer, Fakultas Teknik. Universitas Negeri Makassar (dibimbing oleh Sugeng A. Karim dan Dwi Resky Anandari Sulaiman). Penelitian ini bertujuan untuk mengkaji tingkat kemampuan public speaking, tingkat regulasi emosi (emotion regulation), serta pengaruh regulasi emosi (emotion regulation) terhadap kemampuan public speaking pada mahasiswa angkatan 2020 Program Studi Pendidikan Teknik Informatika dan Komputer di Universitas Negeri Makassar. Penelitian ini merupakan penelitian kuantitatif dengan jenis penelitian ex post facto. Data penelitian diperolah dari hasil kuesioner. Variabel bebas dari penelitian ini adalah emotion regulation dan variabel terikat adalah kemampuan public speaking. Subjek penelitian sebanyak 132 mahasiswa angkatan 2020 yang diperoleh berdasarkan pada tabel Krejcie & Morgan. Teknik analisis data yang digunakan yaitu analisis deskriptif dan analisis regresi. Hasil penelitian menunjukkan bahwa 77,27% mahasiswa memiliki tingkat kemampuan public speaking yang berada pada kategori tinggi, dan 62,87% mahasiswa memiliki tingkat emotion regulation yang juga berada pada kategori tinggi. Berdasarkan hasil penelitian, terdapat pengaruh yang signifikan dari emotion regulation terhadap kemampuan public speaking. Nilai signifikansi regresi linear sederhana sebesar 0,00 (<0,05) menunjukkan bahwa variabel emotion regulation secara signifikan mempengaruhi kemampuan public speaking. Besar pengaruh emotion regulation terhadap kemampuan public speaking ditunjukkan oleh nilai koefisien determinasi (R²) sebesar 71%, sedangkan sisanya sebesar 29% yang dipengaruhi oleh variabel atau faktor lain."
"93","Pengembangan E-modul pembelajaran Matakuliah Keamanan Komputer pada Jurusan Teknik Informatika dan Komputer","Haspa, 2024. Pengembangan E-Modul Pembelajaran Mata Kuliah Keamanan Komputer pada Jurusan Teknik Informatika dan Komputer FT-UNM, Skripsi. Jurusan Teknik Informatika dan Komputer, Fakultas Teknik. Universitas Negeri Makassar. (dibimbing oleh Jamaluddin dan Fathahillah). Penelitian ini bertujuan untuk mengembangkan e-modul pembelajaran bagi mata kuliah Keamanan Komputer di Jurusan Teknik Informatika dan Komputer FT UNM dengan menggunakan model ADDIE, yang terdiri dari tahapan Analisis, Desain, Pengembangan, Implementasi, dan Evaluasi dalam pendekatan Research and Development (R&D). Validasi dari ahli materi menunjukkan angka yang sangat tinggi sebesar 99%, sementara validasi dari ahli media mencapai 98,5%, yang mengindikasikan bahwa e-modul ini memenuhi standar kualitas yang tinggi. Penelitian ini melibatkan uji coba yang komprehensif pada dua kelompok, yaitu kelompok kecil yang terdiri dari 7 orang dan kelompok besar yang terdiri dari 25 orang. Hasil evaluasi menunjukkan bahwa e-modul yang dikembangkan sangat layak digunakan, dengan skor kelayakan mencapai 91,61% untuk kelompok kecil dan 89,28% untuk kelompok besar. Selain itu, hasil pre-test dan post-test menunjukkan peningkatan yang signifikan dengan skor N-gain sebesar 0,81 atau 81,21%, yang menandakan efektivitas e-modul dalam meningkatkan pemahaman mahasiswa. E-modul ini dirancang menggunakan aplikasi Canva dan FlipBuilder, menghasilkan konten yang menarik, dan sesuai dengan kebutuhan pembelajaran. Temuan ini menegaskan bahwa e-modul yang dikembangkan memberikan kontribusi positif dalam proses belajar mengajar pada mata kuliah Keamanan Komputer. Dengan demikian, dapat disimpulkan bahwa e-modul Keamanan Komputer dapat diterima sebagai bahan ajar bagi mahasiswa Jurusan Teknik Informatika dan Komputer di FT UNM."
"94","Pengembangan E-Modul Pembelajaran Mata Kuliah Algoritma dan Pemrograman Jurusan Teknik Informatika dan Komputer FT UNM","Penelitian ini bertujuan untuk mengetahui validitas, kepraktisan, dan keefektifan Pengembangan E-Modul Pembelajaran Mata Kuliah Algoritma dan Pemrograman Jurusan Teknik Informatika dan Komputer Fakultas Teknik Universitas Negeri Makassar. Penelitian ini menggunakan metode penelitian R&D (Research and Development), dengan menggunakan model 4-D. Subjek pada penelitian ini adalah mahasiswa Jurusan Teknik Informatika dan Komputer yang telah memprogram mata kuliah Algoritma dan Pemrograman. Instrumen pengumpulan data dilakukan melalui uji validasi, angket respon mahasiswa, dan instrumen penilaian hasil penggunaan e-modul. Teknik analisis data yang digunakan adalah analisis data deskriptif. Hasil dari penelitian ini yaitu menunjukkan bahwa e-modul pembelajaran mata kuliah Algoritma dan Pemrograman Jurusan Teknik Informatika dan Komputer Fakultas Teknik Universitas Negeri Makassar, berada pada nilai persentase 98% dengan kategori sangat valid. E-modul pembelajaran mata kuliah Algoritma dan Pemrograman dinyatakan praktis dari hasil analisis respon mahasiswa dengan nilai persentase 88% dengan kategori sangat praktis. E-modul Pembelajaran Algoritma dan Pemrograman dinyatakan efektif karena ditinjau dari hasil penggunaan mahasiswa mencapai ketuntasan 95% dengan kategori sangat baik sehingga dinyatakan efektif. Berdasarkan data tersebut dapat disimpulkan bahwa E-modul Pembelajaran Mata Kuliah Algoritma dan Pemrograman dapat diterima untuk digunakan sebagai media dalam kegiatan pembelajaran di Jurusan Teknik Informatika dan Komputer Fakultas Teknik Universitas Negeri Makassar."
"95","Evaluasi sistem informasi dan komputerisasi haji terpadu di kemenag takalar menggunakan model CIPP","Muhammad Syafaat Ilsyah, 2024. Evaluasi Sistem Informasi dan Komputerisasi Haji Terpadu di Kemenag Takalar Menggunakan Model CIPP. Skripsi Jurusan Teknik Informatika dan Komputer, Fakultas Teknik. Universitas Negeri Makassar, 2024 (dibimbing oleh ibu Sanatang dan ibu Dyah Vitalocca) Penelitian ini adalah penilitian evaluasi yang bertujuan untuk mengetahui hasil evaluasi konteks, input, proses, dan produk dalam evaluasi Sistem Informasi dan Komputerisasi Haji Terpadu di kemenag Takalar. Jenis penelitian yang digunakan dalam penelitian ini adalah penelitian evaluasi, penelitian yang menggunakan cara yang sistematis untuk mengetahui efektivitas suatu program, tindakan atau kebijakan atau objek lain yang diteliti bila dibandingkan dengan tujuan atau standar yang diterapkan. Hasil penelitian ini menunjukkan bahwa Prosedur kerja Sistem Informasi dan Komputerisasi Haji Terpadu di Kementerian Agama Kabupaten Takalar yang telah memenuhi kriteria efektif. Karena prosedur kerja SISKOHAT (Sistem Komputerisasi Haji Terpadu) yang telah memenuhi beberapa aspek penting. Pertama, sistem ini mampu memfasilitasi pendaftaran dan manajemen data calon jemaah haji dengan cepat dan akurat, sehingga mengurangi kesalahan manusia dan mempercepat proses administrasi. Serta SISKOHAT telah memenuhi aspek konteks, input, proses, dan produk."
"96","Pengembangan E-Modul Internet Of Things Program Studi Teknik Komputer Fakultas Teknik Universitas Negeri Makassar","Penelitian ini bertujuan untuk mengembangkan dan mengevaluasi E-modul pembelajaran mata kuliah Internet Of Things di Jurusan Teknik Informatika dan Komputer, Fakultas Teknik, Universitas Negeri Makassar. Menggunakan model pengembangan ADDIE, langkah-langkah penelitian meliputi analisis awal, kebutuhan mahasiswa, materi, dan tujuan pembelajaran. Pada fase desain, dilakukan penyusunan perangkat pembelajaran, pemilihan media, dan pemilihan format, dengan menggunakan Canva sebagai platform pengembangan. Proses validasi oleh ahli materi dan ahli media dilakukan untuk memastikan kualitas dan kevalidan E-modul. Setelah melalui tahap pengembangan, implementasi dilakukan dengan uji coba lapangan melibatkan mahasiswa Teknik dan Komputer. Data hasil uji coba dianalisis secara kuantitatif untuk mengevaluasi efektivitas dan kelayakan E-modul. Hasil penelitian menunjukkan tingkat validitas E-modul mencapai 96,6% untuk materi dan 97,2% untuk media. Uji coba lapangan melibatkan 29 mahasiswa menunjukkan bahwa E-modul dinilai sangat praktis dengan rata-rata presentase 86%. Kesimpulannya, E-modul Internet Of Things dapat efektif meningkatkan pencapaian belajar mahasiswa dan memenuhi standar validitas, kegunaan, serta kemudahan praktis dalam konteks pembelajaran. Penelitian ini memberikan kontribusi positif terhadap pengembangan bahan ajar berbasis teknologi di bidang IoT dan pembelajaran jarak jauh."
"97","PENGARUH PENERAPAN MODEL PEMBELAJARAN BERBASIS PROYEK (PROJECT BASED LEARNING) TERHADAP PENINGKATAN KEMAMPUAN BERPIKIR KREATIF SISWA MATA PELAJARAN DESAIN GRAFIS PADA SMKN 4 KOLAKA UTARA","Penelitian ini bertujuan untuk mengetahui : Pengaruh penerapan model pembelajaran berbasis proyek (Project Based Learning) terhadap peningkatan kemampuan berpikir kreatif siswa mata pelajaran Desain Grafis pada SMKN 4 Kolaka Utara. Penelititian ini merupakan penelitian Quasy experiment. Jumlah sampel dalam penelitian ini adalah 52 siswa yang terdiri dari 26 siswa kelas X TKJ 1 dan 26 siswa kelas X TKJ 2. Teknik pengambilan sampelnya menggunakan teknik simple random sampling. Hasil penelitian menunjukkan bahwa model pembelajaran Project Based Learning berpengaruh dalam meningkatkan kemampuan berpikir kreatif siswa. Hal ini dibuktikan bahwa data penelitian diperoleh dari tes dan dokumentasi, adapun teknik analisis yang digunakan adalah analisis statistik deskriptif dan uji hipotesis. Berdasarkan hasil penelitian yang dilakukan maka diperoleh : hasil uji hipotesis dengan uji-t menunjukkan nilai signifikansi yang diperoleh sebesar 0.004 yaitu lebih kecil dari taraf 5% (0.004<0.05) yang artinya terdapat pengaruh penerapan model pembelajaran PjBL terhadap peningkatan kemampuan berpikir kreatif siswa di SMKN 4 Kolaka utara."
"98","Pengembangan Media Pembelajaran Berbasis Audiovisual Powtoon Mata Pelajaran Informatika Kelas VIII SMP Negeri 1 Pangsid","Penelitian ini bertujuan untuk mengetahui kelayakan media pembelajaran dan respon peserta didik terhadap media pembelajaran berbasis audiovisual powtoon pada mata pelajaran Informatika Kelas VIII SMP Negeri 1 Pangsid. Jenis penelitian ini adalah Research and Development (R&D) yang menggunakan model pengambangan ADDIE, langkah langkah penelitian meliputi analisis kebutuhan dan analisis materi. Pada tahap desain dilakukan perancangan media dengan membuat storyboard dan dilanjutkan dengan tahap memproduksi media. Proses validasi oleh ahli materi dan ahli media dilakukan untuk memastikan kualitas dan kevalidan media pembelajaran. Media pembelajaran berbasis audiovisual powtoon pada mata pelajaran Informatika telah dinyatakan layak digunakan sebagai media ajar setelah dilakukan pengujian kepada ahli materi, ahli media dan peserta didik. Hasil pengujian kelayakan oleh ahli materi mendapat kategori “Sangat Layak” dengan persentase 89%. Hasil pengujian kelayakan oleh ahli media mendapat kategori “Sangat Layak” dengan persentase 86,6%. Respon peserta didik pada uji coba kelompok kecil mendapat persentase sebesar 84,6% dengan kategori “Sangat Baik”, sedangkan uji coba kelompok besar mendapat rata-rata hasil 86,31% yang masuk dalam kategori “Sangat Baik”. Kesimpulannya, media pembelajaran yang dikembangkan dinilai efektif meningkatkan pencapaian belajar peserta didik dan dapat dijadikan sebagai penunjang dalam proses pembelajaran pada mata pelajaran Informatika di SMP Negeri 1 Pangsid."
"99","Pengaruh Integrasi Teknologi ChatGPT dalam Pembelajaran Terhadap Hasil Belajar Peserta Didik di SMA Negeri 2 Bantaeng","Penelitian ini bertujuan untuk mengetahui pengaruh Integrasi teknologi ChatGPT dalam pembelajaran terhadap hasil belajar siswa dengan menggunakan jenis data ex-post facto dan pendekatan kuantitatif. Teknik pengumpulan data yang digunakan adalah observasi, wawancara, angket, dan dokumentasi. Variabel bebas dalam penelitan ini adalah integrasi teknologi ChatGPT (X), sementara variabel terikat adalah hasil belajar (Y), di ukur melalui sikap belajar. Penelitian ini dilaksanakan di SMA Negeri 2 Bantaeng, dimulai bulan Oktober hingga maret 2024. Subjek dari penelitian ini adalah siswa kelas X IPA 1, 2, 3, 4, dan 5 yang diambil menggunakan probability sampling berjumlah 99 siswa. Teknik analisis yang digunakan yakni analsis deskriptif, uji normalitas, dan analisis regresi linear sederhana. Hasil penelitian menunjukkan bahwa nilai yang didapatkan Y = - 45.970 + 45,879X. Penelitian menunjukkan bahwa ada pengaruh integrasi teknologi ChatGPT dalam pembelajaran terhadap hasil belajar peserta didik di SMA Negeri 2 Bantaeng."
"100","PENGEMBANGAN SISTEM INFORMASI AKADEMIK BERBASIS WEBSITE DI SMP NEGERI 6 BANGKALA BARAT KABUPATEN JENEPONTO","Muhammad Fadhil Majid, 2024. Pengembangan Sistem Informasi Akademik berbasis Web di SMPN 6 Bangkala Barat. Skripsi. Jurusan Teknik Informatika dan Komputer. Fakultas Teknik. Universitas Negeri Makassar (dibimbing oleh Muhammad Yahya dan Fhatiah Adiba). SMP Negeri 6 Bangkala Barat saat ini belum memanfaatkan sistem informasi akademik, sehingga pengolahan data akademik seperti data nilai dan absensi siswa masih dilakukan secara manual. Penelitian ini bertujuan untuk mengembangkan sistem informasi akademik berbasis web yang dapat diakses kapan saja dan di mana saja, serta meningkatkan efisiensi manajemen data akademik di SMP Negeri 6 Bangkala Barat. Metode penelitian yang digunakan dalam penelitian ini adalah Research and Development (R&D). Sistem diimplementasikan dengan beberapa teknologi yaitu framework laravel, MySQL, Javascript, dan PHP sebagai bahasa pemrogramannya. Pengujian sistem dilakukan berdasarkan standar ISO/IEC 25010, yang mencakup 8 aspek yaitu (1) aspek functional suitability memperoleh nilai 1 dengan kategori layak, (2) Aspek usability memperoleh hasil persentase sebesar 97,28%, (3) Aspek performance efficiency mendapat grade A. (4) Aspek reliability memperoleh hasil metrik sebesar 100%, (5) Aspek maintability berhasil memenuhi ketiga aspek yaitu instrumentation, consistency dan simplicity. (6) aspek portability dari seluruh pengujian tidak mengalami error. (7) Aspek compatibility mendapat hasil keseluruhan perangkat berfungsi dengan baik. (8) security berada pada level medium yang berarti aman dari serangan malware. Kesimpulannya, hasil pengembangan sistem informasi akademik berbasis website berhasil diselesaikan, dan pengujian kualitas sistem menunjukkan bahwa sistem ini layak untuk digunakan."
"101","Pengembangan E-Modul Ajar Kurikulum Merdeka Berbasis AR Pada Mata Pelajaran TIK (Teknologi Informasi dan Komunikasi) Kelas VII UPT SMP Negeri 4 Parepare","Fidela Evania Jakob, 2024. Pengembangan E-Modul Ajar Kurikulum Merdeka Berbasis Augmented Reality pada Mata Pelajaran TIK (Teknologi Informasi dan Komunikasi) Kelas VII UPT SMP Negeri 4 Parepare. Skripsi. Jurusan Teknik Informatika dan Komputer, Fakultas Teknik, Universitas Negeri Makassar. (dibimbing oleh Dyah Darma Andayani dan Fathahillah). Penelitian ini bertujuan untuk mengembangkan dan mengetahui kelayakan E-Modul pada mata pelajaran TIK (Teknologi Informasi dan Komunikasi) dikelas VII UPT SMP Negeri 4 Parepare. Jenis penelitian yang digunakan adalah Research and Development (R&D), yang merupakan salah satu metode pengembangan yang digunakan dalam menghasilkan produk ataupun menguji kelayakan produk tersebut. Model pengembangan pada penelitian ini adalah model 4D (Four-D) yang terdiri dari 4 tahapan pengembangan diantaranya Pendefinisian (Define), Perencanaan (Design), Pengembangan (Development) dan Penyebaran (Disseminate). Penelitian pengembangan ini menggunakan sampel uji coba sebanyak 32 orang siswa aktif dikelas VII.3. Teknik analisis data yang digunakan adalah teknik Statistik Deskriptif. Pada uji coba kelayakan ahli materi mendapatkan hasil sebesar 95% dengan kategori “Sangat Layak”. Sedangkan pada uji coba kelayakan ahli media mendapatkan hasil sebanyak 94% dengan kategori “Sangat Layak”. Lalu pada uji coba responden atau siswa, mendapatkan hasil sebesar 88% dan masuk pada kategori “Sangat Layak”. Oleh karena itu, E-Modul yang dikembangkan telah layak digunakan sebagai penunjang proses pembelajaran pada Mata Pelajaran TIK di Kelas VII UPT SMP Negeri 4 Parepare."
"102","Pengembangan E-Modul Interaktif Mata Kuliah Perkembangan Peserta Didik Pada Program Studi Pendidikan Teknik Informatika dan Komputer Universitas Negeri Makassar","Penelitian ini bertujuan untuk mengetahui validitas, kepraktisan, dan keefektifan pengembangan E-Modul Interaktif Mata Kuliah Perkembangan Peserta Didik Pada Program Studi Pendidikan Teknik Informatika Dan Komputer Universitas Negeri Makassar. Penelitian ini menggunakan metode penelitian R&D (Research and Development), rancangan pengembangannya menggunakan model 4-D. Subjek pada penelitian ini adalah mahasiswa Jurusan Teknik Informatika dan Komputer FT UNM. Instrumen pengumpulan data dilakukan melalui lembar uji validasi, angket respon mahasiswa, dan instrumen penilaian hasil penggunaan e-modul. Teknik analisis data yang digunakan adalah analisis data deskriptif. Hasil penelitian menunjukkan bahwa e-modul Interaktif Perkembangan Peserta Didik pada Prodi Pendidikan Teknik Informatika Dan Komputer UNM, berada pada nilai persentase 95% dengan kategori sangat valid. E-Modul Perkembangan Peserta Didik dinyatakan praktis dari hasil analisis respon mahasiswa dengan nilai persentase 83% dengan kategori sangat praktis. E-Modul Perkembangan Peserta Didik dinyatakan efektif ditinjau dari hasil evaluasi pengetahuan mahasiswa menggunakan pre-test dan post-test, dimana nilai rata-rata N-gain mencapai nilai 0,7597 yang termasuk dalam kategori “tinggi”. Berdasarkan data tersebut dapat disimpulkan E-Modul Perkembangan Peserta Didik dapat diterima untuk digunakan sebagai media pembelajaran mahasiswa pada Prodi Pendidikan Teknik Informatika dan Komputer Fakultas Teknik Universitas Negeri Makassar."
"103","Efektivitas Model Blended Learning Menggunakan Cisco Packet Tracer Untuk Meningkatkan Hasil Belajar Peserta Didik Di SMK Negeri 7 Makassar","Penelitian ini bertujuan untuk mengetahui bagaimana efektivitas pembelajaran dengan model blended learning menggunakan cisco packet tracer ditinjau dari hasil belajar peserta didik di SMK Negeri 7 Makassar. Populasi dalam penelitian ini adalah seluruh peserta didik XI RPL SMK Negeri 7 Makassar, sedangkan sampelnya berjumlah 46 orang yang teridri dari kelas XI RPL 1 sebagai kelas eksperimen dan kelas XI RPL 2 sebagai kelas kontrol. Jenis penelitian ini merupakan penelitian kuasi eksperimen. Penelitian ini dilaksanakan dengan membagi peserta didik kedalam 2 kelompok yaitu kelas eksperimen dan kelas kontrol. Data penelitian diperoleh dengan memberikan tes hasil belajar berupa pretest dan posttest. Teknik analisis data yang digunakan adalah uji normalitas, uji homogenitas dan uji independent sample t-test. Hasil penelitian menunjukkan dalam pelaksanaan pembelajaran kelas eksperimen ternyata memberikan dampak positif terhadap hasil belajar peserta didik dimana ada perbedaan signifikan pembelajaran model blended menggunakan cisco packet tracer. Nilai rata-rata hasil belajar kelas eksperimen peserta didik antara sebelum dan sesudah mendapatkan perlakuan mengalami kenaikan. Sebelum diterapkan model blended learning menggunakan cisco packet tracer nilai pretest peserta didik sebesar 43,48. Setelah menerapkan model blended learning menggunakan cisco packet tracer nilai posttest peserta didik sebesar 81,5. Nilai rata-rata hasil belajar peserta didik kelas kontrol yang tidak mendapatkan perlakuan dengan tidak menerapkan model blended learning yaitu nilai pretest peserta didik sebesar 37,83 dan nilai posttest peserta didik sebesar 72,39. Perbandingan nilai pretest dan posttest kelas eksperimen setelah diberikan perlakuan dengan menerapkan model pembelajaran blended menggunakan cisco packet tracer terjadi peningkatan nilai yang signifikan. Peningkatan nilai pada kelas eksperimen dapat disimpulkan adanya efektivitas model blended learning menggunakan cisco packet tracer untuk meningkatkan hasil belajar terhadap peserta didik di SMK Negeri 7 Makassar."
"104","ANALISIS TINGKAT KEPUASAN MAHASISWA TERHADAP PENGGUNAAN APLIKASI MESIN ANTRIAN UNTUK PENINGKATAN LAYANAN JURUSAN TEKNIK INFORMATIKA DAN KOMPUTER","Penelitian ini bertujuan untuk mengetahui Tingkat Kepuasan Mahasiswa Jurusan Teknik Informatika dan Komputer dalam Penggunaan Aplikasi Mesin Antrian di Jurusan Teknik Informatika dan Komputer Penelitian dilakukan pada 05 April 2024 sampai dengan 10 Mei 2024. Penelitian ini menggunakan Metode penelitian kuantitatif, Teknik pengumpulan data yang digunakan adalah observasi, kuisoner, dan dokumentasi. Subjek dari penelitian ini adalah Mahasiswa Jurusan Teknik Informatika dan Komputer Angkatan 2020 sampai 2022 yang diambil menggunakan probability sampling berjumlah 98 responden. Dari hasil Analisa didapatkan bahwa Tingkat kepuasan mahasiswa terhadap aplikasi mesin antrian jurusan Teknik informatika dan komputer, dari indikator Reliability (Kehandalan) berada pada Kategori puas memiliki persentase tertinggi sebesar 56.12%. Responsiveness (Ketanggapan) dengan Kategori puas mencapai 53.06%. Competence (Kompetensi) berada pada Kategori puas sebesar 48.97%, Access (Akses) berada Kategori puas memiliki persentase tertinggi sebesar 50%, Courtesy (Keramahan) dengan Kategori puas mencapai 47.95%, Communication (Komunikasi) berada pada Kategori puas sebesar 54.04%, Credibility (Kredibilitas) pada Kategori sangat puas mencapai 92.85%. Security (Keamanan) pada Kategori sangat puas sebesar 21.42%, sedangkan Understanding Knowing the Customer (Memahami Kebutuhan Mahasiswa) berada Kategori puas sebesar 44.89%, dan Tangible (Wujud) Kategori puas mencapai 55.10%."
"105","Analisis Tingkat Kepuasan Mahasiswa Tingkat Akhir Terhadap Penggunaan Single Academic Service System (My-Sams) Pendidikan Teknik Informatika Dan Komputer Universitas Negeri Makassar","Penelitian ini bertujuan untuk mengetahui Tingkat Kepuasan Mahasiswa Tingkat Akhir Terhadap Penggunaan Single Academic Service System (MY-SAMS) Pendidikan Teknik Informatika dan Komputer (PTIK) FT UNM dengan menggunakan pendekatan model EUCS yang berfokus pada kepuasan pengguna yang mencakup lima variabel diantaranya: content, accuracy, format, ease of use, dan timeliness. Penelitian ini merupakan penelitian deskriptif dengan pendekatan kuantitatif dengan jumlah sampel 140 mahasiswa Program Studi Pendidikan Teknik Informatika dan Komputer, Fakultas Teknik, Universitas Negeri Makassar angkatan 2020. Teknik pengumpulan data menggunakan kuesioner. Adapun teknik analisis data yang digunakan yaitu analisis statistik deskriptif dengan menggunakan teknik uji kecenderungan untuk mendeskripsikan data. Berdasarkan hasil penelitian dapat disimpulkan bahwa tingkat kepuasan mahasiswa tingkat akhir PTIK FT UNM dari aspek isi (Content) dalam Penggunaan MY-SAMS berada pada kategori puas dengan persentase sebesar 47,9%, tingkat kepuasan mahasiswa tingkat akhir PTIK FT UNM dari aspek keakuratan (Accuracy) dalam penggunaan MY-SAMS berada pada kategori puas dengan persentase sebesar 48,5%, tingkat kepuasan mahasiswa tingkat akhir PTIK FT UNM dari aspek bentuk (Format) dalam penggunaan MY-SAMS berada pada kategori puas dengan persentase sebesar 49,3%, tingkat kepuasan mahasiswa tingkat akhir PTIK FT UNM dari aspek kemudahan penggunaan (Ease of Use) dalam penggunaan MY-SAMS berada pada kategori tidak puas dengan persentase sebesar 40,1%, dan tingkat kepuasan mahasiswa PTIK FT UNM dari aspek ketepatan waktu (Timeliness) dalam penggunaan MY-SAMS berada pada kategori puas dengan persentase sebesar 49,3%."
"106","Pengembangan Media Pembelajaran Pengenalan Perangkat Keras Komputer Berbasis Augmented Reality (AR) Pada Mata Pelajaran Informatika Kelas XI SMAN 3 Enrekang","Penelitian ini bertujuan untuk mengembangkan media pembelajaran pengenalan perangkat keras komputer pada mata pelajaran informatika berbasis Augmented Reality khususnya untuk Kelas XI SMAN 3 Enrekang, yang bertujuan untuk memperkenalkan media pembelajaran 3D dan meningkatkan kualitas pembelajaran siswa. Metode penelitian yang digunakan adalah Research and Development (R&D) dengan penerapan model pengembangan ADDIE. Data dikumpulkan melalui berbagai metode, termasuk wawancara, angket, dan studi dokumentasi. Analisis data dilakukan secara deskriptif kuantitatif. Hasil penelitian menunjukkan bahwa media pembelajaran berbasis Augmented Reality yang dikembangkan untuk SMA Negeri 3 Enrekang telah terbukti layak digunakan berdasarkan pengujian kegunaan, usability dan portabilitas. Evaluasi tersebut meliputi berbagai aspek, di antaranya: (1) Fungsionalitas, yang dinilai oleh dua orang ahli sistem dengan hasil nilai 1 kategori layak untuk diterapkan; (2) Kegunaan, yang mencapai tingkat persentase 88,52% dan dikategor"
